阿爸 a1/ba4
特异功能 te4/yi4/gong1/neng2
腾空而起 teng2/kong1/er2/qi3
腾云驾雾 teng2/yun2/jia4/wu4
梯级开发 ti1/ji2/kai1/fa1
啼笑皆非 ti2/xiao4/jie1/fei1
提出批评 ti2/chu1/pi1/ping2
提出申请 ti2/chu1/shen1/qing3
提纲挈领 ti2/gang1/qie4/ling3
提高产量 ti2/gao1/chan3/liang4
提高技术 ti2/gao1/ji4/shu4
提高警惕 ti2/gao1/jing3/ti4
提高觉悟 ti2/gao1/jue2/wu4
提高认识 ti2/gao1/ren4/shi4
提高水平 ti2/gao1/shui3/ping2
提高效率 ti2/gao1/xiao4/lv4
提高效益 ti2/gao1/xiao4/yi4
提高质量 ti2/gao1/zhi4/liang4
提供方便 ti2/gong1/fang1/bian4
提供情报 ti2/gong1/qing2/bao4
提前完成 ti2/qian2/wan2/cheng2
提心吊胆 ti2/xin1/diao4/dan3
体力劳动 ti3/li4/lao2/dong4
体弱多病 ti3/ruo4/duo1/bing4
体贴入微 ti3/tie1/ru4/wei1
体无完肤 ti3/wu2/wan2/fu1
体验生活 ti3/yan4/sheng1/huo2
体育锻炼 ti3/yu4/duan4/lian4
体育活动 ti3/yu4/huo2/dong4
体育竞赛 ti3/yu4/jing4/sai4
体育事业 ti3/yu4/shi4/ye4
体育新闻 ti3/yu4/xin1/wen2
体育用品 ti3/yu4/yong4/pin3
体育运动 ti3/yu4/yun4/dong4
体胀系数 ti3/zhang4/xi4/shu4
体制改革 ti3/zhi4/gai3/ge2
天长地久 tian1/zhang3/de/jiu3
天长日久 tian1/zhang3/ri4/jiu3
天从人愿 tian1/cong2/ren2/yuan4
天翻地覆 tian1/fan1/de/fu4
天方夜谭 tian1/fang1/ye4/tan2
天府之国 tian1/fu3/zhi1/guo2
天花乱坠 tian1/hua1/luan4/zhui4
天经地义 tian1/jing1/de/yi4
天伦之乐 tian1/lun2/zhi1/le4
天罗地网 tian1/luo2/de/wang3
天南地北 tian1/nan2/de/bei3
天南海北 tian1/nan2/hai3/bei3
天怒人怨 tian1/nu4/ren2/yuan4
天气现象 tian1/qi4/xian4/xiang4
天气预报 tian1/qi4/yu4/bao4
天然饵料 tian1/ran2/er3/liao4
天然气井 tian1/ran2/qi4/jing3
天然染料 tian1/ran2/ran3/liao4
天然纤维 tian1/ran2/xian1/wei2
天然橡胶 tian1/ran2/xiang4/jiao1
天然杂交 tian1/ran2/za2/jiao1
天壤之别 tian1/rang3/zhi1/bie2
天时地利 tian1/shi2/de/li4
天天向上 tian1/tian1/xiang4/shang4
天文单位 tian1/wen2/dan1/wei4
天下大事 tian1/xia4/da4/shi4
天下第一 tian1/xia4/di4/yi1
天下为公 tian1/xia4/wei4/gong1
天旋地转 tian1/xuan2/de/zhuan3
天涯海角 tian1/ya2/hai3/jiao3
天衣无缝 tian1/yi1/wu2/feng4
天渊之别 tian1/yuan1/zhi1/bie2
天灾人祸 tian1/zai1/ren2/huo4
天真活泼 tian1/zhen1/huo2/po1
天真烂漫 tian1/zhen1/lan4/man4
天真无邪 tian1/zhen1/wu2/xie2
天之骄子 tian1/zhi1/jiao1/zi
天诛地灭 tian1/zhu1/de/mie4
添油加醋 tian1/you2/jia1/cu4
添枝加叶 tian1/zhi1/jia1/ye4
添砖加瓦 tian1/zhuan1/jia1/wa3
田边地头 tian2/bian1/de/tou2
田间管理 tian2/jian1/guan3/li3
田径运动 tian2/jing4/yun4/dong4
田园风光 tian2/yuan2/feng1/guang1
恬不知耻 tian2/bu4/zhi1/chi3
甜言蜜语 tian2/yan2/mi4/yu3
填补空白 tian2/bu3/kong1/bai2
填空补缺 tian2/kong1/bu3/que1
填平补齐 tian2/ping2/bu3/qi2
挑拨离间 tiao1/bo1/li2/jian1
挑肥拣瘦 tiao1/fei2/jian3/shou4
条件反射 tiao2/jian4/fan3/she4
条块结合 tiao2/kuai4/jie2/he2
条理分明 tiao2/li3/fen1/ming2
条条框框 tiao2/tiao2/kuang1/kuang1
跳梁小丑 tiao4/liang2/xiao3/chou3
贴息贷款 tie1/xi1/dai4/kuan3
铁案如山 tie3/an4/ru2/shan1
铁板一块 tie3/ban3/yi1/kuai4
铁路分局 tie3/lu4/fen1/ju2
铁路干线 tie3/lu4/gan4/xian4
铁路运输 tie3/lu4/yun4/shu1
铁面无私 tie3/mian4/wu2/si1
铁石心肠 tie3/shi2/xin1/chang2
铁证如山 tie3/zheng4/ru2/shan1
听而不闻 ting1/er2/bu4/wen2
听候处理 ting1/hou4/chu4/li3
听其自然 ting1/qi2/zi4/ran2
听取汇报 ting1/qu3/hui4/bao4
听取批评 ting1/qu3/pi1/ping2
听取意见 ting1/qu3/yi4/jian4
听天由命 ting1/tian1/you2/ming4
听之任之 ting1/zhi1/ren4/zhi1
亭亭玉立 ting2/ting2/yu4/li4
停工待料 ting2/gong1/dai4/liao4
停火协议 ting2/huo3/xie2/yi4
停留时间 ting2/liu2/shi2/jian1
停薪留职 ting2/xin1/liu2/zhi2
停业整顿 ting2/ye4/zheng3/dun4
停职检查 ting2/zhi2/jian3/cha2
停止工作 ting2/zhi3/gong1/zuo4
停滞不前 ting2/zhi4/bu4/qian2
挺身而出 ting3/shen1/er2/chu1
铤而走险 ding4/er2/zou3/xian3
通报批评 tong1/bao4/pi1/ping2
通风报信 tong1/feng1/bao4/xin4
通过鉴定 tong1/guo4/jian4/ding4
通过决议 tong1/guo4/jue2/yi4
通过讨论 tong1/guo4/tao3/lun4
通过学习 tong1/guo4/xue2/xi2
通货膨胀 tong1/huo4/peng2/zhang4
通栏标题 tong1/lan2/biao1/ti2
通力合作 tong1/li4/he2/zuo4
通令嘉奖 tong1/ling4/jia1/jiang3
通盘考虑 tong1/pan2/kao3/lv4
通情达理 tong1/qing2/da2/li3
通俗读物 tong1/su2/du2/wu4
通俗易懂 tong1/su2/yi4/dong3
通宵达旦 tong1/xiao1/da2/dan4
通信地址 tong1/xin4/de/zhi3
通信工程 tong1/xin4/gong1/cheng2
通信联络 tong1/xin4/lian2/luo4
通信卫星 tong1/xin4/wei4/xing1
通信线路 tong1/xin4/xian4/lu4
通行无阻 tong1/xing2/wu2/zu3
通讯卫星 tong1/xun4/wei4/xing1
同病相怜 tong2/bing4/xiang1/lian2
同步增长 tong2/bu4/zeng1/zhang3
同仇敌忾 tong2/chou2/di2/kai4
同出一辙 tong2/chu1/yi1/zhe2
同床异梦 tong2/chuang2/yi4/meng4
同等对待 tong2/deng3/dui4/dai4
同等条件 tong2/deng3/tiao2/jian4
同等学力 tong2/deng3/xue2/li4
同等学历 tong2/deng3/xue2/li4
同甘共苦 tong2/gan1/gong4/ku3
同工同酬 tong2/gong1/tong2/chou2
同化作用 tong2/hua4/zuo4/yong4
同类产品 tong2/lei4/chan3/pin3
同流合污 tong2/liu2/he2/wu1
同时并举 tong2/shi2/bing4/ju3
同心同德 tong2/xin1/tong2/de2
同心协力 tong2/xin1/xie2/li4
同舟共济 tong2/zhou1/gong4/ji4
同轴电缆 tong2/zhou2/dian4/lan3
铜墙铁壁 tong2/qiang2/tie3/bi4
统筹安排 tong3/chou2/an1/pai2
统筹兼顾 tong3/chou2/jian1/gu4
统分结合 tong3/fen1/jie2/he2
统计调查 tong3/ji4/diao4/cha2
统计分析 tong3/ji4/fen1/xi1
统计工作 tong3/ji4/gong1/zuo4
统计数字 tong3/ji4/shu4/zi4
统计资料 tong3/ji4/zi1/liao4
统考成绩 tong3/kao3/cheng2/ji1
统一标准 tong3/yi1/biao1/zhun3
统一大业 tong3/yi1/da4/ye4
统一分配 tong3/yi1/fen1/pei4
统一管理 tong3/yi1/guan3/li3
统一规划 tong3/yi1/gui1/hua4
统一计划 tong3/yi1/ji4/hua4
统一经营 tong3/yi1/jing1/ying2
统一口径 tong3/yi1/kou3/jing4
统一领导 tong3/yi1/ling3/dao3
统一认识 tong3/yi1/ren4/shi4
统一思想 tong3/yi1/si1/xiang3
统一战线 tong3/yi1/zhan4/xian4
统一组织 tong3/yi1/zu3/zhi1
统一祖国 tong3/yi1/zu3/guo2
统一作战 tong3/yi1/zuo4/zhan4
统战工作 tong3/zhan4/gong1/zuo4
捅马蜂窝 tong3/ma3/feng1/wo1
痛改前非 tong4/gai3/qian2/fei1
痛失良机 tong4/shi1/liang2/ji1
痛痛快快 tong4/tong4/kuai4/kuai4
痛心疾首 tong4/xin1/ji2/shou3
偷工减料 tou1/gong1/jian3/liao4
偷梁换柱 tou1/liang2/huan4/zhu4
偷税漏税 tou1/shui4/lou4/shui4
偷偷摸摸 tou1/tou1/mo1/mo1
头版头条 tou2/ban3/tou2/tiao2
头等大事 tou2/deng3/da4/shi4
头面人物 tou2/mian4/ren2/wu4
头脑发热 tou2/nao3/fa1/re4
头脑清醒 tou2/nao3/qing1/xing3
头头是道 tou2/tou2/shi4/dao4
头重脚轻 tou2/zhong4/jiao3/qing1
投案自首 tou2/an4/zi4/shou3
投标竞争 tou2/biao1/jing4/zheng1
投放市场 tou2/fang4/shi4/chang3
投机倒把 tou2/ji1/dao4/ba3
投机取巧 tou2/ji1/qu3/qiao3
投其所好 tou2/qi2/suo3/hao3
投入产出 tou2/ru4/chan3/chu1
投入生产 tou2/ru4/sheng1/chan3
投入使用 tou2/ru4/shi3/yong4
投入市场 tou2/ru4/shi4/chang3
投资公司 tou2/zi1/gong1/si1
投资规模 tou2/zi1/gui1/mo2
投资环境 tou2/zi1/huan2/jing4
投资银行 tou2/zi1/yin2/xing2
投资总额 tou2/zi1/zong3/e2
突出表现 tu1/chu1/biao3/xian4
突出贡献 tu1/chu1/gong4/xian4
突飞猛进 tu1/fei1/meng3/jin4
突破难关 tu1/po4/nan2/guan1
突然袭击 tu1/ran2/xi2/ji1
突如其来 tu1/ru2/qi2/lai2
图书资料 tu2/shu1/zi1/liao4
图文并茂 tu2/wen2/bing4/mao4
图文混排 tu2/wen2/hun4/pai2
图形操作 tu2/xing2/cao1/zuo4
图形控制 tu2/xing2/kong4/zhi4
徒劳无益 tu2/lao2/wu2/yi4
徒手空拳 tu2/shou3/kong1/quan2
徒有虚名 tu2/you3/xu1/ming2
涂脂抹粉 tu2/zhi1/mo3/fen3
土崩瓦解 tu3/beng1/wa3/jie3
土地改革 tu3/de/gai3/ge2
土法上马 tu3/fa3/shang4/ma3
土法生产 tu3/fa3/sheng1/chan3
土里土气 tu3/li3/tu3/qi4
土木工程 tu3/mu4/gong1/cheng2
土壤肥力 tu3/rang3/fei2/li4
土壤改良 tu3/rang3/gai3/liang2
土壤胶体 tu3/rang3/jiao1/ti3
土壤结构 tu3/rang3/jie2/gou4
土壤溶液 tu3/rang3/rong2/ye4
土壤湿度 tu3/rang3/shi1/du4
土壤温度 tu3/rang3/wen1/du4
土壤质地 tu3/rang3/zhi4/de
土生土长 tu3/sheng1/tu3/zhang3
土特产品 tu3/te4/chan3/pin3
土洋结合 tu3/yang2/jie2/he2
土著居民 tu3/zhe/ju1/min2
吐故纳新 tu3/gu4/na4/xin1
兔死狐悲 tu4/si3/hu2/bei1
团的工作 tuan2/de/gong1/zuo4
团结合作 tuan2/jie2/he2/zuo4
团结互助 tuan2/jie2/hu4/zhu4
团结一致 tuan2/jie2/yi1/zhi4
团体冠军 tuan2/ti3/guan1/jun1
推波助澜 tui1/bo1/zhu4/lan2
推陈出新 tui1/chen2/chu1/xin1
推倒重来 tui1/dao4/zhong4/lai2
推而广之 tui1/er2/guang3/zhi1
推广应用 tui1/guang3/ying1/yong4
推进改革 tui1/jin4/gai3/ge2
推卸责任 tui1/xie4/ze2/ren4
推心置腹 tui1/xin1/zhi4/fu4
退避三舍 tui4/bi4/san1/she3
退居二线 tui4/ju1/er4/xian4
退伍军人 tui4/wu3/jun1/ren2
退休干部 tui4/xiu1/gan4/bu4
退一步说 tui4/yi1/bu4/shuo1
蜕化变质 tui4/hua4/bian4/zhi4
吞吐能力 tun1/tu3/neng2/li4
吞吞吐吐 tun1/tun1/tu3/tu3
拖拉机厂 tuo1/la1/ji1/chang3
拖泥带水 tuo1/ni2/dai4/shui3
拖拖拉拉 tuo1/tuo1/la1/la1
脱产干部 tuo1/chan3/gan4/bu4
脱产学习 tuo1/chan3/xue2/xi2
脱缰之马 tuo1/jiang1/zhi1/ma3
脱口而出 tuo1/kou3/er2/chu1
脱离群众 tuo1/li2/qun2/zhong4
脱离实际 tuo1/li2/shi2/ji4
脱离危险 tuo1/li2/wei1/xian3
脱贫致富 tuo1/pin2/zhi4/fu4
脱胎换骨 tuo1/tai1/huan4/gu3
脱氧核糖 tuo1/yang3/he2/tang2
脱颖而出 tuo1/ying3/er2/chu1
妥善安置 tuo3/shan4/an1/zhi4
妥善处理 tuo3/shan4/chu4/li3
妥善解决 tuo3/shan4/jie3/jue2
唾手可得 tuo4/shou3/ke3/de2
挖掘潜力 wa1/jue2/qian2/li4
挖空心思 wa1/kong1/xin1/si1
歪风邪气 wai1/feng1/xie2/qi4
歪门邪道 wai1/men2/xie2/dao4
歪曲事实 wai1/qu1/shi4/shi2
歪歪扭扭 wai1/wai1/niu3/niu3
歪歪斜斜 wai1/wai1/xie2/xie2
外币单位 wai4/bi4/dan1/wei4
外部环境 wai4/bu4/huan2/jing4
外部设备 wai4/bu4/she4/bei4
外公切线 wai4/gong1/qie4/xian4
外国海关 wai4/guo2/hai3/guan1
外国商人 wai4/guo2/shang1/ren2
外国投资 wai4/guo2/tou2/zi1
外国血统 wai4/guo2/xue4/tong3
外国游客 wai4/guo2/you2/ke4
外国专家 wai4/guo2/zhuan1/jia1
外汇储备 wai4/hui4/chu3/bei4
外汇逆差 wai4/hui4/ni4/cha4
外汇市场 wai4/hui4/shi4/chang3
外汇行市 wai4/hui4/xing2/shi4
外汇资金 wai4/hui4/zi1/jin1
外籍华人 wai4/ji2/hua2/ren2
外籍球员 wai4/ji2/qiu2/yuan2
外籍人士 wai4/ji2/ren2/shi4
外交部长 wai4/jiao1/bu4/zhang3
外交大臣 wai4/jiao1/da4/chen2
外交关系 wai4/jiao1/guan1/xi4
外交惯例 wai4/jiao1/guan4/li4
外交活动 wai4/jiao1/huo2/dong4
外交人员 wai4/jiao1/ren2/yuan2
外交使节 wai4/jiao1/shi3/jie2
外交使团 wai4/jiao1/shi3/tuan2
外交途径 wai4/jiao1/tu2/jing4
外界人士 wai4/jie4/ren2/shi4
外来干涉 wai4/lai2/gan4/she4
外力作用 wai4/li4/zuo4/yong4
外贸出口 wai4/mao4/chu1/kou3
外贸逆差 wai4/mao4/ni4/cha4
外贸顺差 wai4/mao4/shun4/cha4
外贸体制 wai4/mao4/ti3/zhi4
外强中干 wai4/qiang2/zhong1/gan4
外商独资 wai4/shang1/du2/zi1
外商投资 wai4/shang1/tou2/zi1
外事活动 wai4/shi4/huo2/dong4
外引内联 wai4/yin3/nei4/lian2
外资来源 wai4/zi1/lai2/yuan2
外资企业 wai4/zi1/qi3/ye4
纨绔子弟 wan2/ku4/zi/di4
完璧归赵 wan2/bi4/gui1/zhao4
完成任务 wan2/cheng2/ren4/wu4
完好无损 wan2/hao3/wu2/sun3
完美无缺 wan2/mei3/wu2/que1
完美无瑕 wan2/mei3/wu2/xia2
完全必要 wan2/quan2/bi4/yao4
完全避免 wan2/quan2/bi4/mian3
完全符合 wan2/quan2/fu2/he2
完全可能 wan2/quan2/ke3/neng2
完全可以 wan2/quan2/ke3/yi3
完全同意 wan2/quan2/tong2/yi4
完全正确 wan2/quan2/zheng4/que4
完整无缺 wan2/zheng3/wu2/que1
完整无损 wan2/zheng3/wu2/sun3
玩忽职守 wan2/hu1/zhi2/shou3
玩物丧志 wan2/wu4/sang4/zhi4
顽固不化 wan2/gu4/bu4/hua4
顽抗到底 wan2/kang4/dao4/di3
顽强拼搏 wan2/qiang2/pin1/bo2
晚婚晚育 wan3/hun1/wan3/yu4
晚秋作物 wan3/qiu1/zuo4/wu4
晚些时候 wan3/xie1/shi2/hou4
婉言谢绝 wan3/yan2/xie4/jue2
万般无奈 wan4/ban1/wu2/nai4
万不得已 wan4/bu4/de2/yi3
万里长城 wan4/li3/zhang3/cheng2
万里长征 wan4/li3/zhang3/zheng1
万马奔腾 wan4/ma3/ben1/teng2
万全之策 wan4/quan2/zhi1/ce4
万事大吉 wan4/shi4/da4/ji2
万事具备 wan4/shi4/ju4/bei4
万事俱备 wan4/shi4/ju4/bei4
万事如意 wan4/shi4/ru2/yi4
万寿无疆 wan4/shou4/wu2/jiang1
万水千山 wan4/shui3/qian1/shan1
万无一失 wan4/wu2/yi1/shi1
万象更新 wan4/xiang4/geng4/xin1
万用电表 wan4/yong4/dian4/biao3
万有引力 wan4/you3/yin3/li4
万众一心 wan4/zhong4/yi1/xin1
万紫千红 wan4/zi3/qian1/hong2
汪洋大海 wang1/yang2/da4/hai3
亡命之徒 wang2/ming4/zhi1/tu2
亡羊补牢 wang2/yang2/bu3/lao2
王公贵族 wang2/gong1/gui4/zu2
王码电脑 wang2/ma3/dian4/nao3
王码汉卡 wang2/ma3/han4/ka3
网开一面 wang3/kai1/yi1/mian4
网络体系 wang3/luo4/ti3/xi4
网络系统 wang3/luo4/xi4/tong3
往返运输 wang3/fan3/yun4/shu1
往来帐单 wang3/lai2/zhang4/dan1
往来帐档 wang3/lai2/zhang4/dang4
往来帐目 wang3/lai2/zhang4/mu4
枉法徇私 wang3/fa3/xun4/si1
枉费心机 wang3/fei4/xin1/ji1
妄加评论 wang4/jia1/ping2/lun4
妄加指责 wang4/jia1/zhi3/ze2
妄自尊大 wang4/zi4/zun1/da4
忘恩负义 wang4/en1/fu4/yi4
忘乎所以 wang4/hu1/suo3/yi3
忘我工作 wang4/wo3/gong1/zuo4
忘我精神 wang4/wo3/jing1/shen2
忘我劳动 wang4/wo3/lao2/dong4
望尘莫及 wang4/chen2/mo4/ji2
望而却步 wang4/er2/que4/bu4
望而生畏 wang4/er2/sheng1/wei4
望梅止渴 wang4/mei2/zhi3/ke3
望文生义 wang4/wen2/sheng1/yi4
望眼欲穿 wang4/yan3/yu4/chuan1
望洋兴叹 wang4/yang2/xing4/tan4
望子成龙 wang4/zi/cheng2/long2
危房改造 wei1/fang2/gai3/zao4
危机四伏 wei1/ji1/si4/fu2
危险物品 wei1/xian3/wu4/pin3
危言耸听 wei1/yan2/song3/ting1
危在旦夕 wei1/zai4/dan4/xi1
威风凛凛 wei1/feng1/lin3/lin3
威风扫地 wei1/feng1/sao3/de
威迫利诱 wei1/po4/li4/you4
威武不屈 wei1/wu3/bu4/qu1
威胁利诱 wei1/xie2/li4/you4
威信扫地 wei1/xin4/sao3/de
微不足道 wei1/bu4/zu2/dao4
微处理机 wei1/chu4/li3/ji1
微处理器 wei1/chu4/li3/qi4
微分电路 wei1/fen1/dian4/lu4
微分方程 wei1/fen1/fang1/cheng2
微观经济 wei1/guan1/jing1/ji4
微观世界 wei1/guan1/shi4/jie4
微乎其微 wei1/hu1/qi2/wei1
微积分学 wei1/ji1/fen1/xue2
微控制器 wei1/kong4/zhi4/qi4
微粒显影 wei1/li4/xian3/ying3
微量元素 wei1/liang4/yuan2/su4
微生物学 wei1/sheng1/wu4/xue2
微笑服务 wei1/xiao4/fu2/wu4
巍然屹立 wei1/ran2/yi4/li4
为非作歹 wei4/fei1/zuo4/dai3
为国为民 wei4/guo2/wei4/min2
为国争光 wei4/guo2/zheng1/guang1
为了加强 wei4/le/jia1/qiang2
为了实现 wei4/le/shi2/xian4
为民除害 wei4/min2/chu2/hai4
为期不远 wei4/qi1/bu4/yuan3
为人师表 wei4/ren2/shi1/biao3
为人所知 wei4/ren2/suo3/zhi1
为人正直 wei4/ren2/zheng4/zhi2
为时不晚 wei4/shi2/bu4/wan3
为时过早 wei4/shi2/guo4/zao3
为时尚早 wei4/shi2/shang4/zao3
为时已晚 wei4/shi2/yi3/wan3
为数不多 wei4/shu4/bu4/duo1
为数不少 wei4/shu4/bu4/shao3
为所欲为 wei4/suo3/yu4/wei4
为我所用 wei4/wo3/suo3/yong4
为政清廉 wei4/zheng4/qing1/lian2
为之一振 wei4/zhi1/yi1/zhen4
违法必究 wei2/fa3/bi4/jiu1
违法犯罪 wei2/fa3/fan4/zui4
违法活动 wei2/fa3/huo2/dong4
违法乱纪 wei2/fa3/luan4/ji4
违法行为 wei2/fa3/xing2/wei4
违反规定 wei2/fan3/gui1/ding4
违纪行为 wei2/ji4/xing2/wei4
违禁物品 wei2/jin4/wu4/pin3
违章建筑 wei2/zhang1/jian4/zhu4
违者罚款 wei2/zhe3/fa2/kuan3
唯利是图 wei2/li4/shi4/tu2
唯命是从 wei2/ming4/shi4/cong2
唯我独尊 wei2/wo3/du2/zun1
唯物主义 wei2/wu4/zhu3/yi4
唯心主义 wei2/xin1/zhu3/yi4
惟妙惟肖 wei2/miao4/wei2/xiao4
维持秩序 wei2/chi2/zhi4/xu4
维护和平 wei2/hu4/he2/ping2
维修保养 wei2/xiu1/bao3/yang3
伟大胜利 wei3/da4/sheng4/li4
伟大事业 wei3/da4/shi4/ye4
伟大意义 wei3/da4/yi4/yi4
伪劣商品 wei3/lie4/shang1/pin3
委内瑞拉 wei3/nei4/rui4/la1
委曲求全 wei3/qu1/qiu2/quan2
娓娓动听 wei3/wei3/dong4/ting1
萎靡不振 wei1/mi2/bu4/zhen4
卫生保健 wei4/sheng1/bao3/jian4
卫生防疫 wei4/sheng1/fang2/yi4
卫生条件 wei4/sheng1/tiao2/jian4
卫生统计 wei4/sheng1/tong3/ji4
卫生组织 wei4/sheng1/zu3/zhi1
卫戍部队 wei4/shu4/bu4/dui4
卫星通信 wei4/xing1/tong1/xin4
未卜先知 wei4/bo/xian1/zhi1
未尝不可 wei4/chang2/bu4/ke3
未成年人 wei4/cheng2/nian2/ren2
未见分晓 wei4/jian4/fen1/xiao3
未见异常 wei4/jian4/yi4/chang2
未尽事宜 wei4/jin3/shi4/yi2
未经检验 wei4/jing1/jian3/yan4
未来中国 wei4/lai2/zhong1/guo2
未老先衰 wei4/lao3/xian1/shuai1
未能得逞 wei4/neng2/de2/cheng3
未能如愿 wei4/neng2/ru2/yuan4
未完待续 wei4/wan2/dai4/xu4
未雨绸缪 wei4/yu3/chou2/mou2
畏难情绪 wei4/nan2/qing2/xu4
畏首畏尾 wei4/shou3/wei4/wei3
畏缩不前 wei4/suo1/bu4/qian2
蔚然成风 wei4/ran2/cheng2/feng1
蔚为大观 wei4/wei4/da4/guan1
温饱工程 wen1/bao3/gong1/cheng2
温布尔登 wen1/bu4/er3/deng1
温故知新 wen1/gu4/zhi1/xin1
温暖如春 wen1/nuan3/ru2/chun1
温文尔雅 wen1/wen2/er3/ya3
文本文件 wen2/ben3/wen2/jian4
文不对题 wen2/bu4/dui4/ti2
文档资料 wen2/dang4/zi1/liao4
文过饰非 wen2/guo4/shi4/fei1
文化程度 wen2/hua4/cheng2/du4
文化传统 wen2/hua4/chuan2/tong3
文化工作 wen2/hua4/gong1/zuo4
文化合作 wen2/hua4/he2/zuo4
文化活动 wen2/hua4/huo2/dong4
文化建设 wen2/hua4/jian4/she4
文化交流 wen2/hua4/jiao1/liu2
文化教育 wen2/hua4/jiao4/yu4
文化生活 wen2/hua4/sheng1/huo2
文化市场 wen2/hua4/shi4/chang3
文化事业 wen2/hua4/shi4/ye4
文化水平 wen2/hua4/shui3/ping2
文化素质 wen2/hua4/su4/zhi4
文化遗产 wen2/hua4/yi2/chan3
文化艺术 wen2/hua4/yi4/shu4
文化用品 wen2/hua4/yong4/pin3
文化娱乐 wen2/hua4/yu2/le4
文化知识 wen2/hua4/zhi1/shi4
文化中心 wen2/hua4/zhong1/xin1
文教卫生 wen2/jiao4/wei4/sheng1
文明单位 wen2/ming2/dan1/wei4
文明礼貌 wen2/ming2/li3/mao4
文明生产 wen2/ming2/sheng1/chan3
文人相轻 wen2/ren2/xiang1/qing1
文山会海 wen2/shan1/hui4/hai3
文武双全 wen2/wu3/shuang1/quan2
文物古迹 wen2/wu4/gu3/ji1
文学创作 wen2/xue2/chuang4/zuo4
文学艺术 wen2/xue2/yi4/shu4
文学作品 wen2/xue2/zuo4/pin3
文艺表演 wen2/yi4/biao3/yan3
文艺创作 wen2/yi4/chuang4/zuo4
文艺复兴 wen2/yi4/fu4/xing4
文艺工作 wen2/yi4/gong1/zuo4
文艺会演 wen2/yi4/hui4/yan3
文艺节目 wen2/yi4/jie2/mu4
文艺事业 wen2/yi4/shi4/ye4
文艺思想 wen2/yi4/si1/xiang3
文艺团体 wen2/yi4/tuan2/ti3
文艺晚会 wen2/yi4/wan3/hui4
文艺演出 wen2/yi4/yan3/chu1
文娱活动 wen2/yu2/huo2/dong4
文质彬彬 wen2/zhi4/bin1/bin1
文字处理 wen2/zi4/chu4/li3
文字说明 wen2/zi4/shuo1/ming2
纹丝不动 wen2/si1/bu4/dong4
闻风而动 wen2/feng1/er2/dong4
闻风而至 wen2/feng1/er2/zhi4
闻过则喜 wen2/guo4/ze2/xi3
闻名全国 wen2/ming2/quan2/guo2
闻名遐迩 wen2/ming2/xia2/er3
闻名于世 wen2/ming2/yu2/shi4
闻名中外 wen2/ming2/zhong1/wai4
闻所未闻 wen2/suo3/wei4/wen2
稳步发展 wen3/bu4/fa1/zhan3
稳步前进 wen3/bu4/qian2/jin4
稳步增长 wen3/bu4/zeng1/zhang3
稳操胜券 wen3/cao1/sheng4/quan4
稳产高产 wen3/chan3/gao1/chan3
稳定局势 wen3/ding4/ju2/shi4
稳定物价 wen3/ding4/wu4/jia4
稳定增长 wen3/ding4/zeng1/zhang3
稳如泰山 wen3/ru2/tai4/shan1
稳压电源 wen3/ya1/dian4/yuan2
稳扎稳打 wen3/zha1/wen3/da3
稳中有降 wen3/zhong1/you3/jiang4
问长问短 wen4/zhang3/wen4/duan3
问寒问暖 wen4/han2/wen4/nuan3
问及此事 wen4/ji2/ci3/shi4
问题在于 wen4/ti2/zai4/yu2
问心无愧 wen4/xin1/wu2/kui4
瓮中捉鳖 weng4/zhong1/zhuo1/bie1
蜗杆传动 wo1/gan1/chuan2/dong4
我党我军 wo3/dang3/wo3/jun1
我国人民 wo3/guo2/ren2/min2
我国政府 wo3/guo2/zheng4/fu3
我们大家 wo3/men/da4/jia1
我们国家 wo3/men/guo2/jia1
我们认为 wo3/men/ren4/wei4
我们希望 wo3/men/xi1/wang4
我们相信 wo3/men/xiang1/xin4
我行我素 wo3/xing2/wo3/su4
卧床不起 wo4/chuang2/bu4/qi3
卧薪尝胆 wo4/xin1/chang2/dan3
握紧拳头 wo4/jin3/quan2/tou2
乌合之众 wu1/he2/zhi1/zhong4
乌鲁木齐 wu1/lu3/mu4/qi2
乌七八糟 wu1/qi1/ba1/zao1
乌烟瘴气 wu1/yan1/zhang4/qi4
乌孜别克 wu1/zi1/bie2/ke4
乌兹别克 wu1/zi1/bie2/ke4
污泥浊水 wu1/ni2/zhuo2/shui3
污七糟八 wu1/qi1/zao1/ba1
污染环境 wu1/ran3/huan2/jing4
污染空气 wu1/ran3/kong1/qi4
污水处理 wu1/shui3/chu4/li3
污水净化 wu1/shui3/jing4/hua4
污水排放 wu1/shui3/pai2/fang4
污言秽语 wu1/yan2/hui4/yu3
诬告陷害 wu1/gao4/xian4/hai4
无本之木 wu2/ben3/zhi1/mu4
无边无际 wu2/bian1/wu2/ji4
无产阶级 wu2/chan3/jie1/ji2
无偿援助 wu2/chang2/yuan2/zhu4
无从谈起 wu2/cong2/tan2/qi3
无的放矢 wu2/de/fang4/shi3
无地自容 wu2/de/zi4/rong2
无定形碳 wu2/ding4/xing2/tan4
无动于衷 wu2/dong4/yu2/zhong1
无独有偶 wu2/du2/you3/ou3
无法比拟 wu2/fa3/bi3/ni3
无法无天 wu2/fa3/wu2/tian1
无缝钢管 wu2/feng4/gang1/guan3
无副作用 wu2/fu4/zuo4/yong4
